Year,Location,Vehicle_Type,Count
2013,A. BONIFACIO,Truck,10038
2013,RIZAL AVE.,Truck,1987
2013,DEL PAN,Truck,4455
2013,MARCOS HWY.,Truck,7237
2013,MCARTHUR HWY.,Truck,3538
2013,TOTAL,Truck,89740
2013,RECTO,Trailer,347
2013,MENDOZA,Trailer,1000
2013,PRES. QUIRINO,Trailer,2204
2013,ARANETA AVE.,Trailer,815
2013,EDSA (BUENDIA AVE.),Trailer,4
2013,KATIPUNAN,Trailer,817
2013,ROXAS BLVD.,Trailer,7
2013,TAFT AVE.,Trailer,53
2013,SSH,Trailer,2508
2013,SHAW BLVD.,Trailer,64
2013,ORTIGAS AVE.,Trailer,562
2013,MAGSAYSAY BLVD.,Trailer,379
2013,AURORA BLVD.,Trailer,386
2013,QUEZON AVE.,Trailer,316
2013,COMMONWEALTH AVE.,Trailer,306
2013,A. BONIFACIO,Trailer,2784
2013,RIZAL AVE.,Trailer,7
2013,DEL PAN,Trailer,6566
2013,MARCOS HWY.,Trailer,475
2013,MCARTHUR HWY.,Trailer,305
2013,TOTAL,Trailer,19905
2013,RECTO,MC,12559
2013,MENDOZA,MC,17225
2013,PRES. QUIRINO,MC,21083
2013,ARANETA AVE.,MC,21375
2013,EDSA (BUENDIA AVE.),MC,47192
2013,KATIPUNAN,MC,19974
2013,ROXAS BLVD.,MC,23105
2013,TAFT AVE.,MC,10015
2013,SSH,MC,22758
2013,SHAW BLVD.,MC,18739
2013,ORTIGAS AVE.,MC,21748
2013,MAGSAYSAY BLVD.,MC,18032
2013,AURORA BLVD.,MC,21484
2013,QUEZON AVE.,MC,29298
2013,COMMONWEALTH AVE.,MC,36745
2013,A. BONIFACIO,MC,11168
2013,RIZAL AVE.,MC,19688
2013,DEL PAN,MC,9956
2013,MARCOS HWY.,MC,28134
2013,MCARTHUR HWY.,MC,23062
2013,TOTAL,MC,433340
2013,RECTO,Tricycle,1631
2013,MENDOZA,Tricycle,1142
2013,PRES. QUIRINO,Tricycle,524
2013,ARANETA AVE.,Tricycle,1111
2013,EDSA (BUENDIA AVE.),Tricycle,9
2013,KATIPUNAN,Tricycle,11764
2013,ROXAS BLVD.,Tricycle,13
2013,TAFT AVE.,Tricycle,303
2013,SSH,Tricycle,62
2013,SHAW BLVD.,Tricycle,14
2013,ORTIGAS AVE.,Tricycle,1
2013,MAGSAYSAY BLVD.,Tricycle,525
2013,AURORA BLVD.,Tricycle,166
2013,QUEZON AVE.,Tricycle,400
2013,COMMONWEALTH AVE.,Tricycle,258
2013,A. BONIFACIO,Tricycle,1082
2013,RIZAL AVE.,Tricycle,3172
2013,DEL PAN,Tricycle,627
2013,MARCOS HWY.,Tricycle,126
2013,MCARTHUR HWY.,Tricycle,211
2013,TOTAL,Tricycle,23141
2013,RECTO,Total,63533
2013,MENDOZA,Total,82523
2013,PRES. QUIRINO,Total,129893
2013,ARANETA AVE.,Total,105694
2013,EDSA (BUENDIA AVE.),Total,342612
2013,KATIPUNAN,Total,175929
2013,ROXAS BLVD.,Total,141963
2013,TAFT AVE.,Total,77903
2013,SSH,Total,131975
2013,SHAW BLVD.,Total,88430
2013,ORTIGAS AVE.,Total,106183
2013,MAGSAYSAY BLVD.,Total,92617
2013,AURORA BLVD.,Total,122022
2013,QUEZON AVE.,Total,183609
2013,COMMONWEALTH AVE.,Total,237577
2013,A. BONIFACIO,Total,80570
2013,RIZAL AVE.,Total,71669
2013,DEL PAN,Total,53539
2013,MARCOS HWY.,Total,173218
2013,MCARTHUR HWY.,Total,73619
2013,TOTAL,Total,2535078
2014,RECTO,Car,23673
2014,MENDOZA,Car,61144
2014,PRES. QUIRINO,Car,88806
2014,ARANETA AVE.,Car,68009
2014,EDSA (BUENDIA AVE.),Car,284460
2014,KATIPUNAN / C.P. GARCIA,Car,127594
2014,ROXAS BLVD.,Car,135948
2014,TAFT AVE.,Car,50897
2014,SSH,Car,97801
2014,SHAW BLVD.,Car,57922
2014,ORTIGAS AVE.,Car,66079
2014,MAGSAYSAY BLVD.,Car,55977
2014,AURORA BLVD.,Car,60873
2014,QUEZON AVE.,Car,140290
2014,COMMONWEALTH AVE.,Car,158199
2014,A. BONIFACIO,Car,51859
2014,RIZAL AVE.,Car,25464
2014,DEL PAN,Car,21326
2014,MARCOS HWY.,Car,109239
2014,MCARTHUR HWY.,Car,35945
2014,TOTAL,Car,1721505
2014,RECTO,PUJ,17956
2014,MENDOZA,PUJ,104
2014,PRES. QUIRINO,PUJ,158
2014,ARANETA AVE.,PUJ,1473
2014,EDSA (BUENDIA AVE.),PUJ,4864
2014,KATIPUNAN / C.P. GARCIA,PUJ,812
2014,ROXAS BLVD.,PUJ,90
2014,TAFT AVE.,PUJ,14930
2014,SSH,PUJ,7085
2014,SHAW BLVD.,PUJ,10756
2014,ORTIGAS AVE.,PUJ,18091
2014,MAGSAYSAY BLVD.,PUJ,15292
2014,AURORA BLVD.,PUJ,16602
2014,QUEZON AVE.,PUJ,7163
2014,COMMONWEALTH AVE.,PUJ,16508
2014,A. BONIFACIO,PUJ,6299
2014,RIZAL AVE.,PUJ,12075
2014,DEL PAN,PUJ,1902
2014,MARCOS HWY.,PUJ,20718
2014,MCARTHUR HWY.,PUJ,9432
2014,TOTAL,PUJ,182310
2014,RECTO,PUB,259
2014,MENDOZA,PUB,217
2014,PRES. QUIRINO,PUB,180
2014,ARANETA AVE.,PUB,18
2014,EDSA (BUENDIA AVE.),PUB,14970
2014,KATIPUNAN / C.P. GARCIA,PUB,194
2014,ROXAS BLVD.,PUB,751
2014,TAFT AVE.,PUB,1904
2014,SSH,PUB,6065
2014,SHAW BLVD.,PUB,50
2014,ORTIGAS AVE.,PUB,1003
2014,MAGSAYSAY BLVD.,PUB,429
2014,AURORA BLVD.,PUB,85
2014,QUEZON AVE.,PUB,1557
2014,COMMONWEALTH AVE.,PUB,5758
2014,A. BONIFACIO,PUB,1834
2014,RIZAL AVE.,PUB,304
2014,DEL PAN,PUB,48
2014,MARCOS HWY.,PUB,166
2014,MCARTHUR HWY.,PUB,2268
2014,TOTAL,PUB,38060
2014,RECTO,Truck,816
2014,MENDOZA,Truck,4374
2014,PRES. QUIRINO,Truck,7130
2014,ARANETA AVE.,Truck,4291
2014,EDSA (BUENDIA AVE.),Truck,4417
2014,KATIPUNAN / C.P. GARCIA,Truck,10508
2014,ROXAS BLVD.,Truck,391
2014,TAFT AVE.,Truck,404
2014,SSH,Truck,9484
2014,SHAW BLVD.,Truck,1133
2014,ORTIGAS AVE.,Truck,4252
2014,MAGSAYSAY BLVD.,Truck,2543
2014,AURORA BLVD.,Truck,2290
2014,QUEZON AVE.,Truck,4061
2014,COMMONWEALTH AVE.,Truck,5356
2014,A. BONIFACIO,Truck,9230
2014,RIZAL AVE.,Truck,1787
2014,DEL PAN,Truck,4974
2014,MARCOS HWY.,Truck,6524
2014,MCARTHUR HWY.,Truck,3681
2014,TOTAL,Truck,87646
2014,RECTO,Trailer,382
2014,MENDOZA,Trailer,398
2014,PRES. QUIRINO,Trailer,2398
2014,ARANETA AVE.,Trailer,796
2014,EDSA (BUENDIA AVE.),Trailer,1
2014,KATIPUNAN / C.P. GARCIA,Trailer,914
2014,ROXAS BLVD.,Trailer,0
2014,TAFT AVE.,Trailer,1
2014,SSH,Trailer,807
2014,SHAW BLVD.,Trailer,67
2014,ORTIGAS AVE.,Trailer,352
2014,MAGSAYSAY BLVD.,Trailer,313
2014,AURORA BLVD.,Trailer,27
2014,QUEZON AVE.,Trailer,570
2014,COMMONWEALTH AVE.,Trailer,217
2014,A. BONIFACIO,Trailer,3939
2014,RIZAL AVE.,Trailer,4
2014,DEL PAN,Trailer,3856
2014,MARCOS HWY.,Trailer,533
2014,MCARTHUR HWY.,Trailer,402
2014,TOTAL,Trailer,15977
2014,RECTO,MC,15063
2014,MENDOZA,MC,20199
2014,PRES. QUIRINO,MC,25887
2014,ARANETA AVE.,MC,21649
2014,EDSA (BUENDIA AVE.),MC,51696
2014,KATIPUNAN / C.P. GARCIA,MC,38401
2014,ROXAS BLVD.,MC,31734
2014,TAFT AVE.,MC,14935
2014,SSH,MC,22366
2014,SHAW BLVD.,MC,18115
2014,ORTIGAS AVE.,MC,32979
2014,MAGSAYSAY BLVD.,MC,23155
2014,AURORA BLVD.,MC,22420
2014,QUEZON AVE.,MC,29754
2014,COMMONWEALTH AVE.,MC,46429
2014,A. BONIFACIO,MC,15644
2014,RIZAL AVE.,MC,17749
2014,DEL PAN,MC,11737
2014,MARCOS HWY.,MC,31650
2014,MCARTHUR HWY.,MC,24946
2014,TOTAL,MC,516508
2014,RECTO,Tricycle,3682
2014,MENDOZA,Tricycle,633
2014,PRES. QUIRINO,Tricycle,98
2014,ARANETA AVE.,Tricycle,1124
2014,EDSA (BUENDIA AVE.),Tricycle,9
2014,KATIPUNAN / C.P. GARCIA,Tricycle,6
2014,ROXAS BLVD.,Tricycle,49
2014,TAFT AVE.,Tricycle,392
2014,SSH,Tricycle,2
2014,SHAW BLVD.,Tricycle,14
2014,ORTIGAS AVE.,Tricycle,521
2014,MAGSAYSAY BLVD.,Tricycle,1044
2014,AURORA BLVD.,Tricycle,257
2014,QUEZON AVE.,Tricycle,63
2014,COMMONWEALTH AVE.,Tricycle,634
2014,A. BONIFACIO,Tricycle,1549
